Time,Pitch,Roll,Yaw,X-Pos,Y-Pos,Z-Pos
0,-24.5043223977115,60.4155483405088,-10.308642772616,-847.512573,-541.721008,-773.417358
0.003,-24.4850607711861,60.4304261422269,-10.4868132061403,-847.528931,-541.659973,-773.441589
0.006,-24.4763967092553,60.4401619238409,-10.4818601681872,-847.525269,-541.657776,-773.430359
0.008,-24.4879482991905,60.4498393888638,-10.4756012171106,-847.521179,-541.670471,-773.405701
0.011,-24.4457130355233,60.431259578351,-10.4426099792895,-847.523132,-541.663208,-773.38855
0.014,-24.4806287794851,60.4592626377535,-10.4359028041361,-847.505554,-541.663513,-773.352844
0.017,-24.4932300631707,60.465305466112,-10.4630181648379,-847.50354,-541.66095,-773.344971
0.019,-24.4856607858793,60.454125921907,-10.4767557248867,-847.509705,-541.652832,-773.338684
0.022,-24.5264278303169,60.4706775472431,-10.4695460973519,-847.508789,-541.658875,-773.343262
0.025,-24.5455276239788,60.465849837078,-10.465813071515,-847.501282,-541.650574,-773.328125
0.028,-24.5248346626294,60.4055851175481,-10.3915274912398,-847.504517,-541.636719,-773.281494
0.031,-24.5093832583874,60.4496790587217,-10.4666142151025,-847.505493,-541.639709,-773.323425
0.033,-24.511606170214,60.4530560643466,-10.4845052227172,-847.501038,-541.628235,-773.321777
0.036,-24.5429544015131,60.4265155421922,-10.4019801932765,-847.510437,-541.632324,-773.298828
0.039,-24.5257520298406,60.460738816928,-10.4702014736016,-847.5,-541.631165,-773.329346
0.042,-24.5289880853567,60.4498424214327,-10.494722537611,-847.502686,-541.63147,-773.349182
0.044,-24.5363286841597,60.4537300924723,-10.5063113687678,-847.498474,-541.617615,-773.352295
0.047,-24.5384753985226,60.4489079308463,-10.4770642212335,-847.489929,-541.61145,-773.348389
0.05,-24.5320737229679,60.4659722231099,-10.506277625604,-847.490051,-541.616028,-773.358582
0.053,-24.4789120427846,60.4232187338728,-10.4682189425502,-847.49408,-541.603027,-773.379333
0.056,-24.4862757013043,60.4330742023433,-10.4917456527624,-847.489136,-541.600037,-773.38623
0.058,-24.4778335493808,60.4438707429794,-10.5030496673537,-847.478027,-541.58606,-773.391479
0.061,-24.4793441096395,60.4510984602139,-10.4905214733789,-847.480896,-541.585083,-773.427734
0.064,-24.4929377879623,60.4588491036791,-10.5091980356512,-847.485229,-541.580811,-773.445312
0.067,-24.4842355471432,60.4367825645538,-10.5041584610784,-847.497986,-541.566467,-773.465942
0.069,-24.4583053700945,60.4372064507787,-10.5131810820095,-847.507324,-541.551819,-773.500305
0.072,-24.4549352953215,60.4516380613513,-10.5142555559417,-847.501099,-541.548157,-773.527527
0.075,-24.4762430718766,60.4653459304879,-10.5086687551609,-847.499207,-541.550415,-773.543396
0.078,-24.4861065744785,60.4673196744636,-10.5358174826285,-847.491211,-541.543701,-773.572449
