,Unnamed: 0,Time,Seconds,Pitch,Roll,Yaw,X-Pos,Y-Pos,Z-Pos
0,261,2023-01-18 19:08:45.041651,25.93,3.0,0.0,3.0,-12.0,-2.0,34.0
1,262,2023-01-18 19:08:45.140043,26.03,2.0,-0.0,3.0,-12.0,-2.0,34.0
2,263,2023-01-18 19:08:45.239756,26.13,10.0,-2.0,19.0,-12.0,-2.0,34.0
3,264,2023-01-18 19:08:45.337575,26.23,9.0,-1.0,19.0,-12.0,-2.0,34.0
4,265,2023-01-18 19:08:45.437130,26.33,1.0,-0.0,5.0,-12.0,-2.0,34.0
5,266,2023-01-18 19:08:45.536321,26.43,1.0,0.0,4.0,-12.0,-2.0,34.0
6,267,2023-01-18 19:08:45.635521,26.53,1.0,0.0,4.0,-12.0,-2.0,34.0
7,268,2023-01-18 19:08:45.734009,26.63,0.0,-1.0,6.0,-12.0,-2.0,34.0
8,269,2023-01-18 19:08:45.832984,26.73,-1.0,-1.0,8.0,-12.0,-1.0,34.0
9,270,2023-01-18 19:08:45.964222,26.86,2.0,-2.0,6.0,-12.0,-1.0,34.0
10,271,2023-01-18 19:08:46.062741,26.96,-0.0,-2.0,6.0,-12.0,-1.0,34.0
11,272,2023-01-18 19:08:46.161825,27.05,-0.0,-2.0,5.0,-12.0,-2.0,34.0
12,273,2023-01-18 19:08:46.260867,27.15,-1.0,-2.0,6.0,-12.0,-2.0,33.0
13,274,2023-01-18 19:08:46.359970,27.25,2.0,-2.0,6.0,-12.0,-2.0,33.0
14,275,2023-01-18 19:08:46.458683,27.35,-0.0,-2.0,7.0,-12.0,-2.0,33.0
15,276,2023-01-18 19:08:46.558520,27.45,-0.0,-2.0,7.0,-12.0,-2.0,33.0
16,277,2023-01-18 19:08:46.657115,27.55,2.0,-2.0,8.0,-12.0,-2.0,33.0
17,278,2023-01-18 19:08:46.756309,27.65,1.0,-2.0,9.0,-12.0,-2.0,33.0
18,279,2023-01-18 19:08:46.855452,27.75,2.0,-2.0,8.0,-12.0,-1.0,33.0
19,280,2023-01-18 19:08:46.954172,27.85,2.0,-2.0,8.0,-12.0,-1.0,33.0
20,281,2023-01-18 19:08:47.053402,27.95,0.0,-2.0,10.0,-12.0,-1.0,33.0
21,282,2023-01-18 19:08:47.152244,28.05,1.0,-2.0,9.0,-12.0,-1.0,33.0
22,283,2023-01-18 19:08:47.252394,28.15,1.0,-1.0,10.0,-12.0,-1.0,33.0
23,284,2023-01-18 19:08:47.350336,28.24,0.0,-1.0,9.0,-12.0,-1.0,33.0
24,285,2023-01-18 19:08:47.449365,28.34,-0.0,-1.0,9.0,-12.0,-1.0,33.0
25,286,2023-01-18 19:08:47.548542,28.44,0.0,-1.0,11.0,-12.0,-1.0,33.0
26,287,2023-01-18 19:08:47.647708,28.54,0.0,-1.0,10.0,-12.0,-1.0,33.0
27,288,2023-01-18 19:08:47.747004,28.64,-0.0,-1.0,11.0,-12.0,-1.0,33.0
28,289,2023-01-18 19:08:47.845521,28.74,-0.0,-2.0,11.0,-12.0,-1.0,33.0
29,290,2023-01-18 19:08:47.945048,28.84,2.0,-1.0,12.0,-12.0,-1.0,33.0
30,291,2023-01-18 19:08:48.043588,28.94,0.0,-2.0,12.0,-12.0,-1.0,33.0
31,292,2023-01-18 19:08:48.142979,29.04,7.0,-1.0,27.0,-12.0,-1.0,33.0
32,293,2023-01-18 19:08:48.242024,29.14,-1.0,-2.0,11.0,-12.0,-1.0,33.0
33,294,2023-01-18 19:08:48.341048,29.23,-1.0,-2.0,11.0,-12.0,-1.0,34.0
34,295,2023-01-18 19:08:48.439718,29.33,-1.0,-1.0,10.0,-12.0,-1.0,34.0
35,296,2023-01-18 19:08:48.538808,29.43,6.0,-0.0,23.0,-12.0,-1.0,34.0
36,297,2023-01-18 19:08:48.638769,29.53,6.0,0.0,21.0,-12.0,-1.0,34.0
37,298,2023-01-18 19:08:48.737522,29.63,5.0,0.0,19.0,-12.0,-1.0,34.0
38,299,2023-01-18 19:08:48.836136,29.73,5.0,-0.0,22.0,-12.0,-1.0,34.0
39,300,2023-01-18 19:08:48.934851,29.83,5.0,0.0,19.0,-12.0,-1.0,34.0
40,301,2023-01-18 19:08:49.034297,29.93,5.0,1.0,19.0,-13.0,-1.0,35.0
41,302,2023-01-18 19:08:49.165673,30.06,5.0,2.0,19.0,-13.0,-1.0,35.0
42,303,2023-01-18 19:08:49.263758,30.16,4.0,1.0,23.0,-13.0,-1.0,35.0
43,304,2023-01-18 19:08:49.362988,30.26,-0.0,-3.0,3.0,-14.0,-1.0,35.0
44,305,2023-01-18 19:08:49.629472,30.52,-1.0,-2.0,-6.0,-15.0,-1.0,36.0
45,306,2023-01-18 19:08:49.793188,30.69,3.0,-0.0,10.0,-15.0,-1.0,37.0
46,307,2023-01-18 19:08:49.991471,30.88,-0.0,1.0,-15.0,-14.0,-1.0,37.0
47,308,2023-01-18 19:08:50.154906,31.05,2.0,1.0,-19.0,-12.0,-1.0,38.0
48,309,2023-01-18 19:08:50.320584,31.21,-6.0,2.0,-28.0,-10.0,-1.0,40.0
49,310,2023-01-18 19:08:50.475790,31.37,-1.0,2.0,-28.0,0.0,0.0,0.0
50,311,2023-01-18 19:08:50.674840,31.57,-5.0,-3.0,-10.0,0.0,0.0,0.0
51,312,2023-01-18 19:08:50.805459,31.7,-1.0,-3.0,7.0,0.0,0.0,0.0
52,313,2023-01-18 19:08:50.937002,31.83,-4.0,-4.0,5.0,0.0,0.0,0.0
53,314,2023-01-18 19:08:51.069405,31.96,-4.0,6.0,12.0,0.0,0.0,0.0
54,315,2023-01-18 19:08:51.234639,32.13,-5.0,-3.0,5.0,0.0,0.0,0.0
55,316,2023-01-18 19:08:51.366340,32.26,-7.0,2.0,14.0,0.0,0.0,0.0
56,317,2023-01-18 19:08:51.565679,32.46,-8.0,-1.0,-2.0,0.0,0.0,0.0
57,318,2023-01-18 19:08:51.730967,32.62,-3.0,0.0,-6.0,0.0,0.0,0.0
58,319,2023-01-18 19:08:51.861174,32.75,-0.0,1.0,-10.0,0.0,0.0,0.0
59,320,2023-01-18 19:08:52.027260,32.92,-1.0,1.0,-11.0,0.0,0.0,0.0
60,321,2023-01-18 19:08:52.157304,33.05,-1.0,1.0,-5.0,0.0,0.0,0.0
61,322,2023-01-18 19:08:52.323693,33.22,-2.0,1.0,0.0,0.0,0.0,0.0
62,323,2023-01-18 19:08:52.487451,33.38,-3.0,0.0,8.0,0.0,0.0,0.0
63,324,2023-01-18 19:08:52.618759,33.51,-3.0,-1.0,0.0,0.0,0.0,0.0
64,325,2023-01-18 19:08:52.751176,33.64,-2.0,-1.0,2.0,0.0,0.0,0.0
65,326,2023-01-18 19:08:52.883084,33.78,-3.0,-1.0,1.0,0.0,0.0,0.0
66,327,2023-01-18 19:08:53.015428,33.91,-5.0,-1.0,-1.0,0.0,0.0,0.0
67,328,2023-01-18 19:08:53.145811,34.04,-4.0,-1.0,-2.0,0.0,0.0,0.0
68,329,2023-01-18 19:08:53.279388,34.17,-5.0,0.0,-4.0,0.0,0.0,0.0
69,330,2023-01-18 19:08:53.446211,34.34,-5.0,-0.0,-5.0,0.0,0.0,0.0
70,331,2023-01-18 19:08:53.576728,34.47,-4.0,-0.0,-8.0,0.0,0.0,0.0
71,332,2023-01-18 19:08:53.709223,34.6,-2.0,1.0,9.0,0.0,0.0,0.0
72,333,2023-01-18 19:08:53.875108,34.77,-6.0,0.0,3.0,0.0,0.0,0.0
73,334,2023-01-18 19:08:54.038739,34.93,-4.0,0.0,-13.0,0.0,0.0,0.0
74,335,2023-01-18 19:08:54.170852,35.06,-1.0,-0.0,-0.0,0.0,0.0,0.0
75,336,2023-01-18 19:08:54.336917,35.23,-5.0,1.0,-12.0,0.0,0.0,0.0
76,337,2023-01-18 19:08:54.468899,35.36,-8.0,1.0,-7.0,0.0,0.0,0.0
77,338,2023-01-18 19:08:54.634093,35.53,-7.0,1.0,-0.0,0.0,0.0,0.0
78,339,2023-01-18 19:08:54.764950,35.66,-7.0,2.0,0.0,0.0,0.0,0.0
79,340,2023-01-18 19:08:54.931313,35.82,-5.0,-2.0,-1.0,0.0,0.0,0.0
80,341,2023-01-18 19:08:55.062541,35.96,-4.0,-1.0,-2.0,0.0,0.0,0.0
81,342,2023-01-18 19:08:55.227607,36.12,-6.0,1.0,6.0,0.0,0.0,0.0
82,343,2023-01-18 19:08:55.357861,36.25,-6.0,-0.0,-6.0,0.0,0.0,0.0
83,344,2023-01-18 19:08:55.523219,36.42,-7.0,1.0,3.0,0.0,0.0,0.0
84,345,2023-01-18 19:08:55.654710,36.55,-7.0,1.0,3.0,0.0,0.0,0.0
85,346,2023-01-18 19:08:55.786770,36.68,-8.0,0.0,4.0,0.0,0.0,0.0
86,347,2023-01-18 19:08:55.919193,36.81,-7.0,1.0,4.0,0.0,0.0,0.0
87,348,2023-01-18 19:08:56.084804,36.98,-8.0,-0.0,2.0,0.0,0.0,0.0
88,349,2023-01-18 19:08:56.216122,37.11,-9.0,0.0,6.0,0.0,0.0,0.0
89,350,2023-01-18 19:08:56.381902,37.27,-9.0,1.0,5.0,0.0,0.0,0.0
90,351,2023-01-18 19:08:56.547797,37.44,-10.0,0.0,-2.0,0.0,0.0,0.0
91,352,2023-01-18 19:08:56.678778,37.57,-10.0,1.0,-21.0,0.0,0.0,0.0
92,353,2023-01-18 19:08:56.810946,37.7,-8.0,-5.0,-38.0,0.0,0.0,0.0
93,354,2023-01-18 19:08:56.966637,37.86,0.0,0.0,0.0,0.0,0.0,0.0
94,355,2023-01-18 19:08:57.098329,37.99,0.0,0.0,0.0,0.0,0.0,0.0
95,356,2023-01-18 19:08:57.230643,38.12,0.0,0.0,0.0,0.0,0.0,0.0
96,357,2023-01-18 19:08:57.362368,38.26,0.0,0.0,0.0,0.0,0.0,0.0
97,358,2023-01-18 19:08:57.494439,38.39,0.0,0.0,0.0,0.0,0.0,0.0
98,359,2023-01-18 19:08:57.626425,38.52,0.0,0.0,0.0,0.0,0.0,0.0
99,360,2023-01-18 19:08:57.758416,38.65,0.0,0.0,0.0,0.0,0.0,0.0
100,361,2023-01-18 19:08:57.924616,38.82,0.0,0.0,0.0,0.0,0.0,0.0
101,362,2023-01-18 19:08:58.055382,38.95,0.0,0.0,0.0,0.0,0.0,0.0
102,363,2023-01-18 19:08:58.187179,39.08,0.0,0.0,0.0,0.0,0.0,0.0
103,364,2023-01-18 19:08:58.319603,39.21,0.0,0.0,0.0,0.0,0.0,0.0
104,365,2023-01-18 19:08:58.486344,39.38,0.0,0.0,0.0,0.0,0.0,0.0
105,366,2023-01-18 19:08:58.617956,39.51,0.0,0.0,0.0,0.0,0.0,0.0
106,367,2023-01-18 19:08:58.781652,39.67,0.0,0.0,0.0,0.0,0.0,0.0
107,368,2023-01-18 19:08:58.913013,39.81,0.0,0.0,0.0,0.0,0.0,0.0
108,369,2023-01-18 19:08:59.078724,39.97,0.0,0.0,0.0,0.0,0.0,0.0
109,370,2023-01-18 19:08:59.209537,40.1,0.0,0.0,0.0,0.0,0.0,0.0
110,371,2023-01-18 19:08:59.376197,40.27,0.0,0.0,0.0,0.0,0.0,0.0
111,372,2023-01-18 19:08:59.506807,40.4,0.0,0.0,0.0,0.0,0.0,0.0
112,373,2023-01-18 19:08:59.672762,40.57,0.0,0.0,0.0,0.0,0.0,0.0
113,374,2023-01-18 19:08:59.804810,40.7,0.0,0.0,0.0,0.0,0.0,0.0
114,375,2023-01-18 19:08:59.936531,40.83,0.0,0.0,0.0,0.0,0.0,0.0
115,376,2023-01-18 19:09:00.068111,40.96,0.0,0.0,0.0,0.0,0.0,0.0
116,377,2023-01-18 19:09:00.267024,41.16,0.0,0.0,0.0,0.0,0.0,0.0
117,378,2023-01-18 19:09:00.399024,41.29,0.0,0.0,0.0,0.0,0.0,0.0
118,379,2023-01-18 19:09:00.530911,41.42,0.0,0.0,0.0,0.0,0.0,0.0
119,380,2023-01-18 19:09:00.662412,41.56,0.0,0.0,0.0,0.0,0.0,0.0
120,381,2023-01-18 19:09:00.794466,41.69,0.0,0.0,0.0,0.0,0.0,0.0
121,382,2023-01-18 19:09:00.926501,41.82,0.0,0.0,0.0,0.0,0.0,0.0
122,383,2023-01-18 19:09:01.058278,41.95,0.0,0.0,0.0,0.0,0.0,0.0
