Time,Pitch,Roll,Yaw,X-Pos,Y-Pos,Z-Pos
0,-8.14238810630188,-18.5535336874962,-15.6881336408792,93.694328,-802.166016,431.358643
0.003,-8.1414008634032,-18.5482957086716,-15.6897095422031,93.690575,-802.169739,431.362549
0.006,-8.13241071160565,-18.554658704918,-15.6908522840372,93.684036,-802.173828,431.371429
0.008,-8.14986523048023,-18.560655853058,-15.67730980871,93.671463,-802.182312,431.372559
0.011,-8.11361211571425,-18.5800627936429,-15.6797749399283,93.657913,-802.198608,431.3573
0.014,-8.1113589203953,-18.5752019806893,-15.6838555787251,93.657959,-802.203003,431.370819
0.017,-8.1181405799185,-18.5786110745738,-15.6737391914049,93.648415,-802.21106,431.369019
0.019,-8.10915095124731,-18.58075600244,-15.6722641240896,93.634682,-802.217102,431.374298
0.022,-8.10459911580991,-18.5866311275612,-15.6794130539298,93.629608,-802.224548,431.379272
0.025,-8.10056941332181,-18.5876538250831,-15.6688406033532,93.62397,-802.235779,431.393402
0.028,-8.09491017772901,-18.5934244658891,-15.6809454806034,93.609619,-802.233398,431.392334
0.031,-8.09534006527591,-18.5958306613021,-15.659429328724,93.597389,-802.241333,431.407043
0.033,-8.10016504980532,-18.5991286383114,-15.6712524223947,93.585808,-802.245056,431.410156
0.036,-8.11328527776338,-18.5972791907953,-15.6410842500013,93.575401,-802.24939,431.411652
0.039,-8.08803756253235,-18.6125911448783,-15.6579635347967,93.572311,-802.253113,431.416595
0.042,-8.09714496851981,-18.603341892618,-15.6232430286176,93.543045,-802.255493,431.437439
0.044,-8.09698437901724,-18.6088207759729,-15.6030863891034,93.532631,-802.263367,431.447327
0.047,-8.09294412643446,-18.623384235864,-15.6044449720914,93.525566,-802.265442,431.459564
0.05,-8.13019521842048,-18.5804012611823,-15.6009136674798,93.471718,-802.28125,431.45282
0.053,-8.09704585624982,-18.6387059305211,-15.5882747809663,93.494049,-802.268433,431.471375
0.056,-8.09795425828576,-18.600179345361,-15.6114882989219,93.452843,-802.290527,431.463745
0.058,-8.11205269231883,-18.6000112889889,-15.604872966753,93.446152,-802.292542,431.467865
0.061,-8.11243857366705,-18.6137291704454,-15.5927246090029,93.438286,-802.29126,431.478241
0.064,-8.10644001662947,-18.6285002593751,-15.5997487206967,93.426758,-802.29187,431.480927
0.067,-8.08406802675509,-18.6866239467563,-15.5854483960291,93.463913,-802.273132,431.507233
0.069,-8.10118019164541,-18.6549066977416,-15.5856912951118,93.4272,-802.289917,431.500793
0.072,-8.10768803082418,-18.6593842323402,-15.5833693698563,93.422127,-802.288757,431.504486
0.075,-8.10996737801765,-18.6655603454827,-15.5910334924486,93.418083,-802.277222,431.519562
0.078,-8.08656972889335,-18.6916347320457,-15.5895094599565,93.411064,-802.277161,431.519867
0.081,-8.07992198579107,-18.7497404592658,-15.5907156280286,93.448784,-802.24939,431.55661
0.083,-8.08080279550331,-18.7182678370322,-15.6089420119707,93.407944,-802.271729,431.530853
0.086,-8.10221933217993,-18.7211143261874,-15.5892340826442,93.401245,-802.252991,431.552612
0.089,-8.07055317552893,-18.7922237461167,-15.6030015430489,93.43174,-802.223755,431.568665
0.092,-8.07582385496125,-18.8111283340158,-15.5804575389257,93.435486,-802.215332,431.580536
0.094,-8.09985851201593,-18.775010698714,-15.5783527797569,93.390778,-802.229797,431.569641
0.097,-8.09270291380357,-18.7874832882436,-15.5923515821337,93.388725,-802.212769,431.58139
0.1,-8.07937165873231,-18.8075794394443,-15.5959996404723,93.38401,-802.201965,431.584717
0.103,-8.07814598690333,-18.8293311025046,-15.5924143720559,93.37851,-802.193237,431.592957
0.106,-8.09313830925662,-18.840769947509,-15.5897767746585,93.372398,-802.178589,431.594116
0.108,-8.07708832015291,-18.8654716392338,-15.5950033886087,93.368164,-802.171936,431.592194
0.111,-8.07139821522773,-18.8782002880757,-15.5926160191458,93.371185,-802.159302,431.611938
0.114,-8.07278523567968,-18.8973800991933,-15.5841998977445,93.359245,-802.142517,431.623077
0.117,-8.06642714436543,-18.9183085641459,-15.5892606017308,93.359787,-802.134644,431.629852
0.119,-8.03378237394109,-18.9880649117986,-15.575093121211,93.393486,-802.102478,431.656769
0.122,-8.05327971589528,-18.9456818261101,-15.5806953246095,93.343216,-802.106384,431.647522
