,Time,Seconds,Pitch,Roll,Yaw,X-Pos,Y-Pos,Z-Pos
0,2023-01-18 19:25:15.023722,1.96,0.,0.,0.,0.,0.,0.
1,2023-01-18 19:25:15.153925,2.1,0.,0.,0.,0.,0.,0.
2,2023-01-18 19:25:15.286650,2.23,0.,0.,0.,0.,0.,0.
3,2023-01-18 19:25:15.416612,2.36,0.,0.,0.,0.,0.,0.
4,2023-01-18 19:25:15.581900,2.52,0.,0.,0.,0.,0.,0.
5,2023-01-18 19:25:15.713018,2.65,0.,0.,0.,0.,0.,0.
6,2023-01-18 19:25:15.879576,2.82,0.,0.,0.,0.,0.,0.
7,2023-01-18 19:25:16.044138,2.99,0.,0.,0.,0.,0.,0.
8,2023-01-18 19:25:16.175621,3.12,0.,0.,0.,0.,0.,0.
9,2023-01-18 19:25:16.307318,3.25,0.,0.,0.,0.,0.,0.
10,2023-01-18 19:25:16.702057,3.64,0.,0.,0.,0.,0.,0.
11,2023-01-18 19:25:16.837194,3.78,0.,0.,0.,0.,0.,0.
12,2023-01-18 19:25:16.998522,3.94,0.,0.,0.,0.,0.,0.
13,2023-01-18 19:25:17.131186,4.07,0.,0.,0.,0.,0.,0.
14,2023-01-18 19:25:17.263126,4.2,0.,0.,0.,0.,0.,0.
15,2023-01-18 19:25:17.428641,4.37,0.,0.,0.,0.,0.,0.
16,2023-01-18 19:25:17.560797,4.5,0.,0.,0.,0.,0.,0.
17,2023-01-18 19:25:17.726331,4.67,0.,0.,0.,0.,0.,0.
18,2023-01-18 19:25:17.856358,4.8,0.,0.,0.,0.,0.,0.
19,2023-01-18 19:25:18.037664,4.98,0.,0.,0.,0.,0.,0.
20,2023-01-18 19:25:18.197160,5.14,0.,0.,0.,0.,0.,0.
21,2023-01-18 19:25:18.713992,5.66,-27.,-1.,2.,-21.,4.,35.
22,2023-01-18 19:25:19.001324,5.94,-36.,1.,35.,-21.,5.,35.
23,2023-01-18 19:25:19.154962,6.1,-30.,2.,2.,0.,0.,0.
24,2023-01-18 19:25:19.399658,6.34,-44.,2.,22.,-19.,5.,34.
25,2023-01-18 19:25:19.577118,6.52,0.,0.,0.,0.,0.,0.
26,2023-01-18 19:25:19.708375,6.65,0.,0.,0.,0.,0.,0.
27,2023-01-18 19:25:20.139193,7.08,0.,0.,0.,0.,0.,0.
28,2023-01-18 19:25:20.299413,7.24,0.,0.,0.,0.,0.,0.
29,2023-01-18 19:25:20.431438,7.37,0.,0.,0.,0.,0.,0.
30,2023-01-18 19:25:20.562929,7.5,0.,0.,0.,0.,0.,0.
