Time,Pitch,Roll,Yaw,X-Pos,Y-Pos,Z-Pos
0.13,[   0.    2.   -2.   62.   15. -229.]
0.24,[   2.    3.   -0.   68.   16. -248.]
0.38,[   3.    3.    0.   65.   16. -237.]
0.48,[   4.    3.    0.   62.   15. -227.]
0.54,[   4.    4.   -0.   62.   15. -228.]
0.68,[   3.    4.    0.   60.   14. -222.]
0.74,[   2.    3.    1.   60.   14. -219.]
0.84,[   1.    3.    1.   62.   14. -228.]
0.98,[   1.    3.    1.   60.   13. -220.]
1.08,[  -0.    3.    2.   61.   13. -221.]
1.17,[   1.    4.    1.   65.   14. -237.]
1.27,[   1.    4.    2.   63.   14. -228.]
1.37,[   1.    4.    2.   65.   14. -237.]
1.44,[   1.    4.    2.   61.   13. -219.]
1.57,[   1.    4.    1.   63.   14. -228.]
1.68,[   1.    4.    2.   63.   13. -228.]
1.78,[   1.    4.    2.   63.   14. -228.]
1.84,[   1.    4.    2.   61.   13. -219.]
1.94,[   1.    4.    2.   63.   14. -228.]
2.04,[   1.    4.    2.   63.   13. -228.]
2.14,[   2.    4.    2.   60.   13. -218.]
2.24,[   2.    4.    2.   63.   14. -228.]
2.34,[   2.    4.    2.   66.   14. -238.]
2.44,[   2.    4.    2.   63.   14. -228.]
2.54,[   2.    4.    3.   63.   14. -228.]
2.64,[   2.    3.    3.   66.   14. -237.]
2.74,[   2.    3.    3.   63.   14. -228.]
2.85,[   2.    3.    3.   63.   14. -229.]
2.94,[   2.    3.    3.   63.   14. -226.]
3.05,[   3.    4.    3.   63.   14. -226.]
3.14,[   3.    4.    3.   63.   14. -226.]
3.27,[   3.    3.    2.   61.   14. -219.]
3.37,[   3.    4.    2.   60.   14. -219.]
3.47,[   2.    4.    2.   65.   15. -236.]
3.57,[   2.    4.    2.   65.   15. -237.]
3.64,[   3.    4.    1.   62.   14. -228.]
3.74,[   4.    4.    1.   64.   15. -236.]
3.81,[   4.    4.    1.   62.   15. -228.]
3.94,[   3.    4.    2.   62.   15. -228.]
4.04,[   1.    3.    3.   65.   15. -237.]
4.14,[   2.    4.    2.   62.   15. -228.]
4.21,[   3.    4.    2.   64.   16. -235.]
4.34,[   4.    4.    1.   62.   15. -226.]
4.41,[   3.    4.    2.   60.   15. -219.]
4.54,[   3.    4.    1.   65.   16. -235.]
4.64,[   3.    4.    1.   62.   15. -226.]
4.74,[   3.    4.    1.   65.   16. -237.]
4.84,[   4.    4.    1.   65.   16. -236.]
4.91,[   4.    4.    1.   65.   16. -236.]
5.04,[   4.    4.    1.   63.   16. -228.]
5.14,[   4.    4.    1.   62.   15. -227.]
5.24,[   4.    4.    2.   62.   16. -227.]
5.34,[   4.    4.    2.   62.   16. -227.]
5.44,[   4.    4.    1.   65.   16. -236.]
5.54,[   4.    4.    1.   65.   16. -236.]
5.64,[   4.    4.    2.   62.   16. -227.]
5.74,[   4.    3.    1.   62.   16. -225.]
5.84,[   4.    4.    1.   62.   16. -227.]
5.91,[   4.    4.    1.   65.   17. -235.]
6.03,[   4.    4.    1.   62.   16. -227.]
6.14,[   4.    3.    2.   60.   16. -218.]
6.2,[   5.    4.    2.   62.   16. -226.]
6.34,[   5.    3.    1.   62.   17. -226.]
6.44,[   4.    3.    1.   62.   16. -226.]
6.54,[   6.    5.   -4.   92.   28. -344.]
6.64,[   9.    6.  -24.  120.   52. -505.]
6.74,[  10.    6.  -33.   61.   36. -288.]
6.84,[  18.    4.  -34.   44.   30. -220.]
6.94,[  21.    2.  -36.   45.   33. -227.]
7.04,[  24.    1.  -37.   48.   35. -240.]
7.14,[  26.    1.  -35.   39.   28. -195.]
7.24,[  19.    4.  -34.   39.   24. -182.]
7.34,[  14.    6.  -15.   38.   17. -159.]
7.44,[   9.    4.   -4.   43.   14. -166.]
7.54,[   7.    4.    3.   57.   15. -211.]
7.63,[   4.    4.    1.   67.   17. -248.]
7.74,[   5.    3.    1.   65.   16. -240.]
7.81,[   4.    3.    2.   62.   15. -228.]
7.94,[   5.    3.    2.   62.   14. -228.]
8.03,[   4.    2.    3.   60.   14. -220.]
8.14,[   4.    2.    3.   65.   15. -239.]
8.24,[   3.    2.    3.   60.   13. -220.]
8.34,[   3.    2.    3.   62.   14. -227.]
8.44,[   3.    2.    3.   60.   13. -220.]
8.56,[   2.    1.    2.   65.   15. -237.]
8.64,[   3.    2.    2.   60.   13. -220.]
8.78,[   2.    2.    2.   65.   14. -237.]
8.87,[   2.    3.    2.   62.   14. -228.]
8.97,[   2.    3.    1.   65.   14. -239.]
9.07,[   1.    3.    2.   62.   13. -227.]
9.17,[   0.    3.    1.   65.   14. -239.]
9.27,[   1.    3.    1.   60.   13. -220.]
9.36,[   1.    3.    2.   60.   13. -220.]
9.47,[   1.    3.    2.   63.   13. -229.]
9.57,[   1.    3.    2.   63.   13. -228.]
9.67,[   1.    3.    2.   63.   13. -228.]
9.77,[   1.    4.    2.   65.   14. -238.]
9.87,[   1.    3.    1.   63.   13. -228.]
9.97,[   1.    3.    2.   63.   13. -228.]
10.07,[   1.    3.    1.   62.   13. -229.]
10.14,[   2.    3.    1.   62.   14. -229.]
